"ID","quadratic_converged","log_quadratic_converged","logistic_converged","log_logistic_converged","gompertz_converged","log_gompertz_converged","AIC_quadratic","AIC_log_quadratic","AIC_logistic","AIC_log_logistic","AIC_gompertz","AIC_log_gompertz","BIC_quadratic","BIC_log_quadratic","BIC_logistic","BIC_log_logistic","BIC_gompertz","BIC_log_gompertz","R2_quadratic","R2_log_quadratic","R2_logistic","R2_log_logistic","R2_gompertz","R2_log_gompertz","AICc_quadratic","AICc_log_quadratic","AICc_logistic","AICc_log_logistic","AICc_gompertz","AICc_log_gompertz"
286,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,198.490805822955,38.2912456563605,NA,38.2640604880665,195.534660242327,31.8076279390487,200.082386914148,39.8828267475539,NA,39.85564157926,197.524136606319,33.7971043030405,0.420274042418863,0.384866609582911,NA,0.386384960303906,0.63055687075601,0.715537576722675,201.919377251526,41.7198170849319,NA,41.6926319166379,202.201326908994,38.4742946057153
287,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,195.454251407943,34.2673128300276,NA,34.5389721132472,199.32186591565,28.7276158843242,197.045832499137,35.8588939212211,NA,36.1305532044407,201.311342279642,30.7170922483161,0.61100949935356,0.553538291506708,NA,0.542375062044988,0.539027651123556,0.775039092577192,198.882822836515,37.6958842585991,NA,37.9675435418186,205.988532582317,35.3942825509909
288,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,204.977843148348,36.5592221957047,NA,36.5791592946604,198.718652499684,26.9988152356286,206.9174697475,38.4988487948567,NA,38.5187858938124,201.143185748624,29.4233484845686,0.74121904110836,0.577884744556395,NA,0.577182848842796,0.869976383684246,0.838918387378975,207.977843148348,39.5592221957047,NA,39.5791592946604,204.432938213969,32.7131009499143
289,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,213.120227978864,29.7651715233138,NA,29.8382862920116,210.392407830865,22.7116660979821,215.059854578016,31.7047981224658,NA,31.7779128911636,212.816941079805,25.1361993469221,0.529295009665137,0.525392510550158,NA,0.52249194837508,0.682573423026955,0.776808680419046,216.120227978864,32.7651715233138,NA,32.8382862920116,216.106693545151,28.4259518122679
255,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,98.477500795342,9.48693340094285,NA,0.683488108299382,63.3862201209389,-2.59880662132144,99.2663991046869,10.2758317102877,NA,1.47238641764426,64.37234300762,-1.61268373464034,0.980630224455528,0.987166389865535,NA,0.995174535820153,0.999685741542537,0.997316866584044,103.277500795342,14.2869334009428,NA,5.48348810829938,73.3862201209389,7.40119337867856
258,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,78.5163711218505,19.5807863404861,NA,8.26723626996093,65.820321517916,6.73010591804934,78.8341372885698,19.8985525072055,NA,8.58500243668027,66.2175292263152,7.12731362644852,0.970060057506088,0.947384010485014,NA,0.987207919123892,0.995230758594403,0.991779056332153,84.5163711218505,25.5807863404861,NA,14.2672362699609,79.1536548512493,20.0634392513827
261,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,196.712906090213,35.4352646464144,NA,12.2251371219524,174.838066703697,7.94646796743546,199.269135408674,37.9914939648754,NA,14.7813664404134,178.033353351773,11.1417546155118,0.881036352563552,0.950359081560117,NA,0.990541165141356,0.978383167529519,0.993959584250658,199.112906090213,37.8352646464144,NA,14.6251371219524,179.282511148141,12.3909124118799
246,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,148.540767902616,28.2826066741486,NA,3.16377431136272,125.821817754489,0.59120692993061,150.132348993809,29.8741877653421,NA,4.7553554025562,127.811294118481,2.58068329392246,0.949552551914507,0.949239772186925,NA,0.994826326819271,0.994667848174643,0.996585964671944,151.969339331187,31.71117810272,NA,6.59234573993414,132.488484421156,7.25787359659728
249,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,100.703896210295,16.6338179213633,NA,10.8318142657369,98.069616207436,9.25755714605642,101.49279451964,17.4227162307082,NA,11.6207125750818,99.0557390941171,10.2436800327375,0.987541851292345,0.965649220085922,NA,0.981971431285925,0.992555653217777,0.987880472793435,105.503896210295,21.4338179213633,NA,15.6318142657369,108.069616207436,19.2575571460564
252,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,103.783015238752,13.5511089805327,NA,3.09765057417842,97.5002378014545,-0.284055123302474,104.571913548096,14.3400072898776,NA,3.8865488835233,98.4863606881356,0.702067763378624,0.978337240052527,0.975420925955571,NA,0.992306313527827,0.991369641453906,0.995769023768044,108.583015238752,18.3511089805327,NA,7.89765057417842,107.500237801454,9.71594487669753
256,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,108.313690091531,8.03712164180603,NA,8.53835071731221,78.0292176136377,-0.936336026488032,109.524030463507,9.24746201378221,NA,9.74869108928839,79.5421430786079,0.576589438482198,0.967833005387863,0.987928283618835,NA,0.987307793612695,0.998725576821744,0.995970994946778,112.313690091531,12.037121641806,NA,12.5383507173122,86.0292176136377,7.06366397351197
259,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,75.640269161583,-0.273612259590703,NA,5.04394879446965,70.9583561708244,5.80942633056364,74.8073070384953,-1.10657438267848,NA,4.21098667138187,69.9171535169647,4.76822367670392,0.850145460832814,0.995178177633051,NA,0.988302067500872,0.950794130282499,0.990477490921648,87.640269161583,11.7263877404093,NA,17.0439487944697,110.958356170824,45.8094263305636
262,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,177.852386443884,26.9146420676026,NA,12.0119177141471,165.467241524445,4.89792906279268,180.11218387373,29.1744394974488,NA,14.2717151439933,168.291988311752,7.72267585010036,0.910761025072402,0.963756847354638,NA,0.988482276082831,0.970488846589031,0.994286618762985,180.51905311055,29.5813087342693,NA,14.6785843808138,170.467241524445,9.89792906279268
247,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,186.391350933077,9.73428893644569,NA,8.93893147274482,173.49715119329,9.59304153168464,188.651148362923,11.9940863662918,NA,11.198728902591,176.321897980598,12.4177883189923,0.873133365385589,0.98882611055394,NA,0.989489251357786,0.959656562533331,0.990522994239718,189.058017599744,12.4009556031124,NA,11.6055981394115,178.49715119329,14.5930415316846
250,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,172.755252146619,18.478741835955,NA,-2.45359271134189,140.247676068163,3.26338591781343,174.694878745771,20.418368435107,NA,-0.513966112189884,142.672209317103,5.68791916675343,0.931866043006602,0.977684731107533,NA,0.996100259799787,0.996158571190225,0.994684334823924,175.755252146619,21.478741835955,NA,0.546407288658115,145.961961782449,8.97767163209915
253,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,133.836922301286,10.6141316603554,NA,6.27227391663307,107.674902927927,6.54403749386934,134.62582061063,11.4030299697003,NA,7.06117222597794,108.661025814608,7.53016038055044,0.887061560197452,0.986940345298154,NA,0.991938504816607,0.995058200055602,0.993346967426945,138.636922301286,15.4141316603554,NA,11.0722739166331,117.674902927927,16.5440374938693
254,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,65.7415924256382,21.353838374255,NA,-7.38103783659284,54.6887507566937,-2.79912868055648,66.9519327976144,22.5641787462312,NA,-6.17069746461666,56.2016762216639,-1.28620321558625,0.782742440085212,0.867896845749756,NA,0.992535970111402,0.941102455830541,0.990337171763218,69.7415924256382,25.353838374255,NA,-3.38103783659284,62.6887507566937,5.20087131944352
257,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,82.1924625177293,7.4683449817844,NA,-1.47356455197923,69.5455077068983,2.37603022644676,81.9761031139506,7.25198557800566,NA,-1.68992395575798,69.2750584521748,2.10558097172332,0.832922377634326,0.984473278551435,NA,0.995671821185838,0.97938464073882,0.994362872192331,90.1924625177293,15.4683449817844,NA,6.52643544802077,89.5455077068983,22.3760302264468
260,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,121.262305283838,27.4415432358208,NA,-3.99232987751201,104.249119786078,-6.37489274339969,123.522102713684,29.701340665667,NA,-1.73253244766586,107.073866573386,-3.55014595609201,0.978479236333594,0.94779197147978,NA,0.995348238120538,0.995014840043687,0.996679465293312,123.928971950505,30.1082099024875,NA,-1.32566321084534,109.249119786078,-1.37489274339969
245,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,117.814084104083,9.38277199213735,NA,14.7811842643823,115.679635092557,8.16373761735099,119.753710703235,11.3223985912893,NA,16.7208108635343,118.104168341497,10.588270866291,0.980136296033018,0.984283962196914,NA,0.975355607337039,0.985925611496898,0.987981719777779,120.814084104083,12.3827719921373,NA,17.7811842643823,121.393920806843,13.8780233316367
248,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,129.930042765339,-0.551678268762887,NA,10.8024030469236,123.287865499142,0.351263559519319,131.521623856532,1.0399028224306,NA,12.3939841381171,125.277341863134,2.34073992351117,0.989440339088909,0.99590468549181,NA,0.988503613968496,0.995186672233145,0.996293415041773,133.35861419391,2.87689315980854,NA,14.230974475495,129.954532165808,7.01793022618599
251,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,124.411950903169,2.28726633830558,NA,7.80822681784982,101.470603923401,0.109936218836625,125.200849212514,3.07616464765046,NA,8.59712512719469,102.456726810082,1.09605910551772,0.954759866776167,0.995113759335865,NA,0.990976220309156,0.997168734398953,0.996928163975464,129.211950903169,7.08726633830558,NA,12.6082268178498,111.470603923401,10.1099362188366
190,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,131.201935052478,23.1361920178301,NA,10.849784961987,117.53913013906,5.92409828499239,132.793516143671,24.7277731090236,NA,12.4413660531805,119.528606503052,7.91357464898425,0.88728541292535,0.959201908480285,NA,0.986647692613484,0.972861117187476,0.992885881518191,134.630506481049,26.5647634464015,NA,14.2783563905585,124.205796805727,12.5907649516591
193,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,98.6035553143353,14.5501773054529,NA,7.79921867067813,94.3042064719214,6.16190556774696,98.3871959105565,14.3338179016741,NA,7.58285926689939,94.0337572171979,5.89145631302353,0.913395852376542,0.977280080785909,NA,0.991339093653752,0.964786105636036,0.994848936395713,106.603555314335,22.5501773054529,NA,15.7992186706781,114.304206471921,26.161905567747
